giftname,rarity
ウェーブキャットの枕,0
ペロロの腹筋ローラー,0
エーポッドプロ,0
禁断の愛?許されないからこそ美しく～,0
ゲームマガジン「ヒットガールズ」,0
チェリーローズカラーのグロス,0
お肌を透明にするBBクリーム,0
ミリタリー用カモフラージュクリーム3種セット,0
高級なクッキーセット,0
『銃 可愛い 青春』,0
天体望遠鏡,0
ゲームガールカラー復刻版,0
MX-レーションC型デザート風味,0
抹茶味の瓶ラムネ,0
ゼリーズの枕,0
跳躍探偵ウサギ～霧に包まれた温泉での滑落～,0
O-フィット,0
埋蔵金の地図,0
コスプレ用ぐるぐるメガネ,0
世界で最も無駄な絡繰りボックス,0
リボンのついた熊のぬいぐるみ,0
映画の前売りペアチケット,0
30色の絵の具セット,0
古典の詩集,0
可愛い食器セット,0
頭脳開発キューブパズル,0
大きなホールケーキ,0
ハイクラスビュッフェ招待券,0
食虫植物の植木鉢,0
高級そうな欲望のつぼ,0
ぜんまい式オルゴール,0
刺繍付きのハンカチ,0
百科事典,0
ザ・サプリメント,0
夏模様の浮き輪,0
レースの枕,1
ストリートオブヤンキー1巻,1
サミュエラ「ザ・ビヨンド」,1
レトロな卵の工芸品,1
ミルフィーユの正統派パフェ,1
エイ～ブックレア,1
おしゃれなくし,1
栄養満載の総合ビタミンゼリー,1
最高級の楓の盆栽,1
裁縫キット,1
音楽演奏会入場券,1
1日3回ダンベルセット,1
ボードゲーム「ザ・人生」,1